channel_id,channel_title,channel_uploads_id,channel_thumbnail,channel_facebook,channel_googleplus,channel_instagram,channel_snapchat,channel_soundcloud,channel_twitter,channel_website
UC0yApU19PqATWGp-dw9WgBA,Virtual Planet Music,UU0yApU19PqATWGp-dw9WgBA,https://yt3.ggpht.com/-LK6mm-6XyqE/AAAAAAAAAAI/AAAAAAAAAAA/9iiOAC8diuo/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCaNUlwkbYWPJqicV4R896ew,Shriram Iyer,UUaNUlwkbYWPJqicV4R896ew,https://yt3.ggpht.com/-UX0KrtxoahY/AAAAAAAAAAI/AAAAAAAAAAA/qrPnQwUAI0E/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCXuO_AmrcE16fDoNiq9JZZg,Coke Studio India,UUXuO_AmrcE16fDoNiq9JZZg,https://yt3.ggpht.com/-pKFVgkhc2bI/AAAAAAAAAAI/AAAAAAAAAAA/rZRx-uaTkZg/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCM1VesJtJ9vTXcMLLr_FfdQ,Coke Studio Pak,UUM1VesJtJ9vTXcMLLr_FfdQ,https://yt3.ggpht.com/-qNq8mZ-sNjA/AAAAAAAAAAI/AAAAAAAAAAA/akXsZPYtYMQ/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCzAh4A_J9kMY3CtdXSriAMA,Priyanka Parashar,UUzAh4A_J9kMY3CtdXSriAMA,https://yt3.ggpht.com/-tXnpNww5Abg/AAAAAAAAAAI/AAAAAAAAAAA/JYtBxP9NxwE/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC8Qpm_lrS7pWF23ChxhvkXQ,Neetusha Cherckal,UU8Qpm_lrS7pWF23ChxhvkXQ,https://yt3.ggpht.com/-i2y6T44-xHM/AAAAAAAAAAI/AAAAAAAAAAA/DtUTZXTgOSk/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCWQBtQ7-F7B-eaM1-Ls6aFw,FourHead Media,UUWQBtQ7-F7B-eaM1-Ls6aFw,https://yt3.ggpht.com/-MhoFFIV6mh0/AAAAAAAAAAI/AAAAAAAAAAA/AP_mUejRVB8/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC9RiL1LNPi8is-b9JOp2sjQ,Anurag Mohn,UU9RiL1LNPi8is-b9JOp2sjQ,https://yt3.ggpht.com/-UQB4z-dSInI/AAAAAAAAAAI/AAAAAAAAAAA/RdDTxM1Tc_w/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC31ZzlPiOcdCHzMtU6iaNrw,Diya Ghosh,UU31ZzlPiOcdCHzMtU6iaNrw,https://yt3.ggpht.com/-_4bJlaUQA9w/AAAAAAAAAAI/AAAAAAAAAAA/wGd-2L4ZsSA/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCqFltCZc4UN77q2BgeIoY9g,Priyansh Paliwal,UUqFltCZc4UN77q2BgeIoY9g,https://yt3.ggpht.com/-KhIrwR_qz2M/AAAAAAAAAAI/AAAAAAAAAAA/lzlWVjJt8dg/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
